year,constructor,nationality,wins,points
1958,Vanwall,British,6,48.0
1959,Cooper-Climax,British,5,40.0
1960,Cooper-Climax,British,6,48.0
1961,Ferrari,Italian,5,45.0
1962,BRM,British,4,42.0
1963,Lotus-Climax,British,7,54.0
1964,Ferrari,Italian,3,45.0
1965,Lotus-Climax,British,6,54.0
1966,Brabham-Repco,British,4,42.0
1967,Brabham-Repco,British,4,67.0
1968,Lotus-Ford,British,5,62.0
1969,Matra-Ford,French,6,66.0
1970,Team Lotus,British,6,59.0
1971,Tyrrell,British,7,73.0
1972,Team Lotus,British,5,61.0
1973,Team Lotus,British,7,91.0
1974,McLaren,British,4,72.0
1975,Ferrari,Italian,6,72.5
1976,Ferrari,Italian,6,79.0
1977,Ferrari,Italian,4,84.0
1978,Team Lotus,British,8,86.0
1979,Ferrari,Italian,6,113.0
1980,Williams,British,6,120.0
1981,Williams,British,4,95.0
1982,Ferrari,Italian,3,74.0
1983,Ferrari,Italian,4,89.0
1984,McLaren,British,12,143.5
1985,McLaren,British,6,90.0
1986,Williams,British,9,141.0
1987,Williams,British,9,137.0
1988,McLaren,British,15,199.0
1989,McLaren,British,10,141.0
1990,McLaren,British,6,121.0
1991,McLaren,British,8,139.0
1992,Williams,British,10,164.0
1993,Williams,British,10,168.0
1994,Williams,British,7,118.0
1995,Benetton,Italian,11,147.0
1996,Williams,British,12,175.0
1997,Williams,British,8,123.0
1998,McLaren,British,9,156.0
1999,Ferrari,Italian,6,128.0
2000,Ferrari,Italian,10,170.0
2001,Ferrari,Italian,9,179.0
2002,Ferrari,Italian,15,221.0
2003,Ferrari,Italian,8,158.0
2004,Ferrari,Italian,15,262.0
2005,Renault,French,8,191.0
2006,Renault,French,8,206.0
2007,Ferrari,Italian,9,204.0
2008,Ferrari,Italian,8,172.0
2009,Brawn,British,8,172.0
2010,Red Bull,Austrian,9,498.0
2011,Red Bull,Austrian,12,650.0
2012,Red Bull,Austrian,7,460.0
2013,Red Bull,Austrian,13,596.0
2014,Mercedes,German,16,701.0
2015,Mercedes,German,16,703.0
2016,Mercedes,German,19,765.0
2017,Mercedes,German,12,668.0
2018,Mercedes,German,11,655.0
2019,Mercedes,German,15,739.0
2020,Mercedes,German,13,573.0
2021,Mercedes,German,9,613.5
2022,Red Bull,Austrian,17,759.0
2023,Red Bull,Austrian,21,860.0
2024,McLaren,British,6,666.0
2025,McLaren,British,14,833.0
2026,Mercedes,German,4,180.0
